time,close,high,low,open,volumefrom,volumeto
2017-08-05,14.12,15.8,10.21,10.5,167756.22,2170085.32
2017-08-06,15.97,17.25,13.3,14.12,150858.48,2340063.31
2017-08-07,19.49,19.93,17.41,18.2,97984.6,1840059.23
2017-08-08,18.25,20.29,15.68,19.49,290834.95,5170450.88
2017-08-09,22.6,23.0,17.26,18.25,190636.74,3816168.88
2017-08-10,37.6,41.72,21.51,22.6,413255.22,11987790.71
2017-08-11,34.1,40.99,27.75,37.6,401554.82,13792663.98
2017-08-12,37.72,38.56,30.7,34.1,147955.0,5043840.57
2017-08-13,48.5,56.69,35.31,37.72,319807.81,14965636.31
2017-08-14,48.32,54.8,45.4,48.5,230083.03,11403353.7
2017-08-15,47.5,49.5,36.54,48.32,306074.3,13185942.28
2017-08-16,45.99,52.3,44.62,47.5,177281.25,8417712.29
2017-08-17,40.39,46.73,38.63,45.99,265517.14,11139492.6
2017-08-18,38.88,41.76,30.54,40.39,335720.01,12339332.48
2017-08-19,39.82,42.0,34.07,38.88,184636.87,7072540.46
2017-08-20,38.5,41.2,37.99,39.82,85218.19,3378503.5
2017-08-21,35.46,38.69,34.0,38.5,105246.72,3771368.49
2017-08-22,35.6,36.36,31.5,35.46,121092.39,4154705.05
2017-08-23,39.88,44.39,35.11,35.6,173294.47,7045911.89
2017-08-24,41.9,42.28,39.36,39.88,54776.58,2245817.75
2017-08-25,40.31,42.6,39.29,41.9,61872.78,2530672.74
2017-08-26,38.82,40.87,37.0,40.31,40479.95,1575063.61
2017-08-27,40.0,41.13,37.0,38.82,46485.9,1786450.78
2017-08-28,38.5,40.35,37.0,40.0,40658.59,1549664.87
2017-08-29,33.3,38.71,28.1,38.5,229566.8,7818803.67
2017-08-30,33.33,36.02,30.0,33.3,116857.11,3867898.99
2017-08-31,33.06,35.3,32.7,33.33,52334.19,1766185.24
2017-09-01,31.8,33.85,28.7,33.06,143907.95,4515460.25
2017-09-02,31.35,34.09,27.29,31.8,175635.37,5412925.43
2017-09-03,30.81,32.88,28.45,31.35,86996.61,2654754.8
2017-09-04,21.81,30.81,16.5,30.81,766813.91,16213256.19
2017-09-05,23.4,24.5,18.5,21.81,370693.64,8145666.37
2017-09-06,21.3,24.67,20.1,23.4,270340.67,5931400.72
2017-09-07,30.98,34.0,20.21,21.3,600806.07,17018229.87
2017-09-08,25.81,31.3,22.43,30.98,744402.4,19386202.68
2017-09-09,22.6,25.96,22.27,25.81,282124.65,6741323.97
2017-09-10,23.68,24.92,19.63,22.6,421650.07,9391167.92
2017-09-11,21.96,24.54,21.52,23.68,233744.48,5312923.03
2017-09-12,20.87,23.84,19.56,21.96,405677.48,8759410.01
2017-09-13,20.03,21.4,17.64,20.87,466251.68,8878917.78
2017-09-14,15.67,20.84,14.75,20.03,805999.95,13695390.93
2017-09-15,18.72,19.28,13.12,15.67,1125007.09,18778973.37
2017-09-16,20.62,23.25,18.23,18.72,739488.51,15062615.05
2017-09-17,19.8,20.62,18.17,20.62,314030.54,6088818.83
2017-09-18,21.07,21.41,19.45,19.8,425986.21,8759345.86
